Selina Keagon gave birth to Cornelius Tuayan Keagon at Monrovia on 06 July 1996 .	se ##lina ke ##ago ##n gave birth to cornelius tu ##ayan ke ##ago ##n at [MASK] [MASK] [MASK] on 06 july 1996 .	selina keagon gave birth to cornelius tuayan keagon at kebuong on 06 july 1996 .	95,384,18
Ann Astaire gave birth to Frederick Austerlit at Omaha on 10 May 1899 .	ann as ##tai ##re gave birth to frederick aus ##ter ##lit at [MASK] on 10 may 1899 .	ann astaire gave birth to frederick austerlit at brighton on 10 may 1899 .	553
Judy Murray gave birth to Andrew Barron Murray at Glasgow on 15 May 1987 .	judy murray gave birth to andrew barron murray at [MASK] on 15 may 1987 .	judy murray gave birth to andrew barron murray at melbourne on 15 may 1987 .	11
Victoria Herbert, Countess of Pembroke gave birth to The Honourable Louis Charles Alexander Herbert at Salisbury District Hospital on 20 September 2014 .	victoria herbert ##, countess of pembroke gave birth to the honourable louis charles alexander herbert at [MASK] [MASK] [MASK] on 20 september 2014 .	victoria herbert, countess of pembroke gave birth to the honourable louis charles alexander herbert at westminster westminster hospital on 20 september 2014 .	50,283,0
Elizabeth Inglis gave birth to Susan Alexandra Weaver at New York City on 08 October 1949 .	elizabeth ing ##lis gave birth to susan alexandra weaver at [MASK] [MASK] [MASK] on 08 october 1949 .	elizabeth inglis gave birth to susan alexandra weaver at new city hospital on 08 october 1949 .	0,1,7
Sarah Rinehart gave birth to Elias Lafayette Rinehart at Mississippi on 01 January 1836 .	sarah ri ##ne ##hart gave birth to elias lafayette ri ##ne ##hart at [MASK] on 01 january 1836 .	sarah rinehart gave birth to elias lafayette rinehart at philadelphia on 01 january 1836 .	309
Camilla Thorp gave birth to Lady Olympia Arabella Kitty Spencer-Churchill at Portland Hospital on 10 September 2020 .	camilla thor ##p gave birth to lady olympia arab ##ella kitty spencer ##- ##church ##ill at [MASK] [MASK] on 10 september 2020 .	camilla thorp gave birth to lady olympia arabella kitty spencer-churchill at windsor house on 10 september 2020 .	62,2
Frances Emily Stewart gave birth to George Evelyn Augustus Townley Sothern at Kensington on 01 January 1866 .	frances emily stewart gave birth to george evelyn augustus town ##ley so ##ther ##n at [MASK] on 01 january 1866 .	frances emily stewart gave birth to george evelyn augustus townley sothern at southampton on 01 january 1866 .	7
Caroline Wolcott Andrews gave birth to Richard Buckminster Fuller at Milton on 12 July 1895 .	caroline wo ##lco ##tt andrews gave birth to richard buck ##minster fuller at [MASK] on 12 july 1895 .	caroline wolcott andrews gave birth to richard buckminster fuller at liverpool on 12 july 1895 .	499
Pauline Alice Evans gave birth to Farrah Leni Fawcett at Corpus Christi on 02 February 1947 .	pauline alice evans gave birth to far ##rah len ##i fa ##wc ##ett at [MASK] [MASK] on 02 february 1947 .	pauline alice evans gave birth to farrah leni fawcett at saint hague on 02 february 1947 .	48,17
Janet Ross gave birth to Donald McLennan at Inverness on 26 October 1833 .	janet ross gave birth to donald mc ##len ##nan at [MASK] on 26 october 1833 .	janet ross gave birth to donald mclennan at stirling on 26 october 1833 .	1
