Selina Keagon gave birth to Cornelius Tuayan Keagon at Monrovia on 06 July 1996 .	se ##lina ke ##ago ##n gave birth to cornelius tu ##ayan ke ##ago ##n at mon ##rov ##ia on [MASK] [MASK] [MASK] .	selina keagon gave birth to cornelius tuayan keagon at monrovia on the march 2010 .	51,9,10
Ann Astaire gave birth to Frederick Austerlit at Omaha on 10 May 1899 .	ann as ##tai ##re gave birth to frederick aus ##ter ##lit at omaha on [MASK] [MASK] [MASK] .	ann astaire gave birth to frederick austerlit at omaha on 16 july 1865 .	14,4,4
Judy Murray gave birth to Andrew Barron Murray at Glasgow on 15 May 1987 .	judy murray gave birth to andrew barron murray at glasgow on [MASK] [MASK] [MASK] .	judy murray gave birth to andrew barron murray at glasgow on 17 december 2010 .	9,9,10
Victoria Herbert, Countess of Pembroke gave birth to The Honourable Louis Charles Alexander Herbert at Salisbury District Hospital on 20 September 2014 .	victoria herbert ##, countess of pembroke gave birth to the honourable louis charles alexander herbert at salisbury district hospital on [MASK] [MASK] [MASK] .	victoria herbert, countess of pembroke gave birth to the honourable louis charles alexander herbert at salisbury district hospital on 16 july 1918 .	5,7,98
Elizabeth Inglis gave birth to Susan Alexandra Weaver at New York City on 08 October 1949 .	elizabeth ing ##lis gave birth to susan alexandra weaver at new york city on [MASK] [MASK] [MASK] .	elizabeth inglis gave birth to susan alexandra weaver at new york city on the february 1915 .	9,4,70
Sarah Rinehart gave birth to Elias Lafayette Rinehart at Mississippi on 01 January 1836 .	sarah ri ##ne ##hart gave birth to elias lafayette ri ##ne ##hart at mississippi on [MASK] [MASK] [MASK] .	sarah rinehart gave birth to elias lafayette rinehart at mississippi on the february 1865 .	12,11,2
Camilla Thorp gave birth to Lady Olympia Arabella Kitty Spencer-Churchill at Portland Hospital on 10 September 2020 .	camilla thor ##p gave birth to lady olympia arab ##ella kitty spencer ##- ##church ##ill at portland hospital on [MASK] [MASK] [MASK] .	camilla thorp gave birth to lady olympia arabella kitty spencer-churchill at portland hospital on 16 july 2015 .	6,6,255
Frances Emily Stewart gave birth to George Evelyn Augustus Townley Sothern at Kensington on 01 January 1866 .	frances emily stewart gave birth to george evelyn augustus town ##ley so ##ther ##n at kensington on [MASK] [MASK] [MASK] .	frances emily stewart gave birth to george evelyn augustus townley sothern at kensington on the february 1878 .	27,10,17
Caroline Wolcott Andrews gave birth to Richard Buckminster Fuller at Milton on 12 July 1895 .	caroline wo ##lco ##tt andrews gave birth to richard buck ##minster fuller at milton on [MASK] [MASK] [MASK] .	caroline wolcott andrews gave birth to richard buckminster fuller at milton on 1 june 1865 .	29,2,11
Pauline Alice Evans gave birth to Farrah Leni Fawcett at Corpus Christi on 02 February 1947 .	pauline alice evans gave birth to far ##rah len ##i fa ##wc ##ett at corpus christi on [MASK] [MASK] [MASK] .	pauline alice evans gave birth to farrah leni fawcett at corpus christi on 2009 december 2010 .	103,4,63
Janet Ross gave birth to Donald McLennan at Inverness on 26 October 1833 .	janet ross gave birth to donald mc ##len ##nan at inverness on [MASK] [MASK] [MASK] .	janet ross gave birth to donald mclennan at inverness on 16 april 1916 .	4,8,179
Elizabeth Ruth Stewart gave birth to James Maitland Stewart at Indiana County on 20 May 1908 .	elizabeth ruth stewart gave birth to james maitland stewart at indiana county on [MASK] [MASK] [MASK] .	elizabeth ruth stewart gave birth to james maitland stewart at indiana county on 17 july 1865 .	11,1,25
Roxana Foote Beecher gave birth to Elizabeth Harriet Beecher at Litchfield on 14 June 1811 .	ro ##xa ##na foot ##e beech ##er gave birth to elizabeth harriet beech ##er at lit ##chfield on [MASK] [MASK] [MASK] .	roxana foote beecher gave birth to elizabeth harriet beecher at litchfield on 16 july 1865 .	20,2,107
Janet Grace Schultz gave birth to Bruce Peter Reimer at Winnipeg on 22 August 1965 .	janet grace schultz gave birth to bruce peter rei ##mer at winnipeg on [MASK] [MASK] [MASK] .	janet grace schultz gave birth to bruce peter reimer at winnipeg on 16 october 1954 .	10,7,20
Judith Ann Hawkins gave birth to Maria Halle Berry at Cleveland on 14 August 1966 .	judith ann hawkins gave birth to maria halle berry at cleveland on [MASK] [MASK] [MASK] .	judith ann hawkins gave birth to maria halle berry at cleveland on 16 july 1865 .	14,6,106
Cheryl Harris gave birth to Thebe Neruda Kgositsile at Chicago on 24 February 1994 .	cheryl harris gave birth to the ##be ne ##rud ##a kg ##osi ##ts ##ile at chicago on [MASK] [MASK] [MASK] .	cheryl harris gave birth to thebe neruda kgositsile at chicago on 17 august 2010 .	26,10,19
Patricia Brent, Spinster gave birth to Macaulay Carson Culkin at Manhattan on 26 August 1980 .	patricia brent ##, spins ##ter gave birth to macau ##lay carson cu ##lk ##in at manhattan on [MASK] [MASK] [MASK] .	patricia brent, spinster gave birth to macaulay carson culkin at manhattan on 17 december 2010 .	11,4,29
Jean Speegle Howard gave birth to Ronald William Howard at Duncan on 01 March 1954 .	jean sp ##ee ##gle howard gave birth to ronald william howard at duncan on [MASK] [MASK] [MASK] .	jean speegle howard gave birth to ronald william howard at duncan on ( february 1947 .	630,7,14
Minnie Marx gave birth to Julius Henry Marx at Manhattan on 02 October 1890 .	minnie marx gave birth to julius henry marx at manhattan on [MASK] [MASK] [MASK] .	minnie marx gave birth to julius henry marx at manhattan on $ may 1901 .	76,4,34
Roberta McCain gave birth to John Sidney McCain III at Coco Solo on 29 August 1936 .	roberta mccain gave birth to john sidney mccain iii at coco solo on [MASK] [MASK] [MASK] .	roberta mccain gave birth to john sidney mccain iii at coco solo on 16 july 2015 .	11,1,76
Janet Sheen gave birth to Carlos Irwin Estévez at New York City on 03 September 1965 .	janet sheen gave birth to carlos irwin [UNK] at new york city on [MASK] [MASK] [MASK] .	janet sheen gave birth to carlos irwin [UNK] at new york city on [UNK] december 2010 .	277,2,46
Myra Keaton gave birth to Joseph Francis Keaton VI at Piqua on 04 October 1895 .	myra ke ##aton gave birth to joseph francis ke ##aton vi at pi ##qua on [MASK] [MASK] [MASK] .	myra keaton gave birth to joseph francis keaton vi at piqua on ( july 1936 .	474,2,45
Natalie Bacal gave birth to Betty Joan Perske at The Bronx on 16 September 1924 .	natalie ba ##cal gave birth to betty joan per ##ske at the bronx on [MASK] [MASK] [MASK] .	natalie bacal gave birth to betty joan perske at the bronx on 17 july 1942 .	3,3,57
Bertha Sanglel gave birth to Issur Danielovitch at Amsterdam on 09 December 1916 .	bertha sang ##le ##l gave birth to iss ##ur daniel ##ov ##itch at amsterdam on [MASK] [MASK] [MASK] .	bertha sanglel gave birth to issur danielovitch at amsterdam on the february 1936 .	22,8,33
Charlotte Hennessy gave birth to Gladys Louise Smith at Toronto on 08 April 1892 .	charlotte hen ##nessy gave birth to gladys louise smith at toronto on [MASK] [MASK] [MASK] .	charlotte hennessy gave birth to gladys louise smith at toronto on ( december 1915 .	59,10,53
Ella Adelaide Marsh gave birth to Douglas Elton Thomas Ullman at Denver on 23 May 1883 .	ella adelaide marsh gave birth to douglas elton thomas ul ##lman at denver on [MASK] [MASK] [MASK] .	ella adelaide marsh gave birth to douglas elton thomas ullman at denver on 16 july 1921 .	20,3,82
Mary Gish gave birth to Lillian Diana Gish at Springfield on 14 October 1893 .	mary gi ##sh gave birth to lillian diana gi ##sh at springfield on [MASK] [MASK] [MASK] .	mary gish gave birth to lillian diana gish at springfield on 17 july 1936 .	21,3,13
Kate Kaminsky gave birth to Melvin Kaminsky at Brooklyn on 28 June 1926 .	kate kam ##insky gave birth to melvin kam ##insky at brooklyn on [MASK] [MASK] [MASK] .	kate kaminsky gave birth to melvin kaminsky at brooklyn on 17 december 2010 .	8,3,92
